in·­stans,~en ~er ,Singular,en instans,obestämd form,en instans,obestämd form genitiv,instansen,bestämd form,instansens,bestämd form genitiv,Plural,instanser,obestämd form,instansers,obestämd form genitiv,instanserna,bestämd form,instansernas,bestämd form genitiv
logi,~n el. ~et; pl. ~er ,Singular,en logi (ett logi),obestämd form,en logis (ett logis),obestämd form genitiv,login (logiet),bestämd form,logins (logiets),bestämd form genitiv,Plural,logier,obestämd form,logiers,obestämd form genitiv,logierna,bestämd form,logiernas,bestämd form genitiv
sjuk·­dom,~en ~ar ,Singular,en sjukdom,obestämd form,en sjukdoms,obestämd form genitiv,sjukdomen,bestämd form,sjukdomens,bestämd form genitiv,Plural,sjukdomar,obestämd form,sjukdomars,obestämd form genitiv,sjukdomarna,bestämd form,sjukdomarnas,bestämd form genitiv
fall|­be·­skriv·­ning,~en ~ar ,Singular,en fallbeskrivning,obestämd form,en fallbeskrivnings,obestämd form genitiv,fallbeskrivningen,bestämd form,fallbeskrivningens,bestämd form genitiv,Plural,fallbeskrivningar,obestämd form,fallbeskrivningars,obestämd form genitiv,fallbeskrivningarna,bestämd form,fallbeskrivningarnas,bestämd form genitiv
dis,~et ,Singular,ett dis,obestämd form,ett dis,obestämd form genitiv,diset,bestämd form,disets,bestämd form genitiv
dis,~en ~er ,Singular,en dis,obestämd form,en dis,obestämd form genitiv,disen,bestämd form,disens,bestämd form genitiv,Plural,diser,obestämd form,disers,obestämd form genitiv,diserna,bestämd form,disernas,bestämd form genitiv
part·­ikel|­verb,~et; pl. ~ ,Singular,ett partikelverb,obestämd form,ett partikelverbs,obestämd form genitiv,partikelverbet,bestämd form,partikelverbets,bestämd form genitiv,Plural,partikelverb,obestämd form,partikelverbs,obestämd form genitiv,partikelverben,bestämd form,partikelverbens,bestämd form genitiv
pro·­gram,~met; pl. ~, best. pl. ~men ,Singular,ett program,obestämd form,ett programs,obestämd form genitiv,programmet,bestämd form,programmets,bestämd form genitiv,Plural,program,obestämd form,programs,obestämd form genitiv,programmen,bestämd form,programmens,bestämd form genitiv
för·­stor·ing,~en ~ar ,Singular,en förstoring,obestämd form,en förstorings,obestämd form genitiv,förstoringen,bestämd form,förstoringens,bestämd form genitiv,Plural,förstoringar,obestämd form,förstoringars,obestämd form genitiv,förstoringarna,bestämd form,förstoringarnas,bestämd form genitiv
lak·­ej,~en ~er ,Singular,en lakej,obestämd form,en lakejs,obestämd form genitiv,lakejen,bestämd form,lakejens,bestämd form genitiv,Plural,lakejer,obestämd form,lakejers,obestämd form genitiv,lakejerna,bestämd form,lakejernas,bestämd form genitiv
mot|­stånd,~et; pl. ~ ,Singular,ett motstånd,obestämd form,ett motstånds,obestämd form genitiv,motståndet,bestämd form,motståndets,bestämd form genitiv,Plural,motstånd,obestämd form,motstånds,obestämd form genitiv,motstånden,bestämd form,motståndens,bestämd form genitiv
under|­vis·­ning,~en ~ar ,Singular,en undervisning,obestämd form,en undervisnings,obestämd form genitiv,undervisningen,bestämd form,undervisningens,bestämd form genitiv,Plural,undervisningar,obestämd form,undervisningars,obestämd form genitiv,undervisningarna,bestämd form,undervisningarnas,bestämd form genitiv
stav·­nings|­regel,~n ‑regler ,Singular,en stavningsregel,obestämd form,en stavningsregels,obestämd form genitiv,stavningsregeln,bestämd form,stavningsregelns,bestämd form genitiv,Plural,stavningsregler,obestämd form,stavningsreglers,obestämd form genitiv,stavningsreglerna,bestämd form,stavningsreglernas,bestämd form genitiv
trygg·­het,~en ~er ,Singular,en trygghet,obestämd form,en trygghets,obestämd form genitiv,tryggheten,bestämd form,trygghetens,bestämd form genitiv,Plural,tryggheter,obestämd form,tryggheters,obestämd form genitiv,tryggheterna,bestämd form,tryggheternas,bestämd form genitiv
kon·­text,~en ~er ,Singular,en kontext,obestämd form,en kontexts,obestämd form genitiv,kontexten,bestämd form,kontextens,bestämd form genitiv,Plural,kontexter,obestämd form,kontexters,obestämd form genitiv,kontexterna,bestämd form,kontexternas,bestämd form genitiv
glad,glatt glada ,Positiv,en glad + substantiv,ett glatt + substantiv,den/det/de glada + substantiv,den glade + maskulint substantiv,Komparativ,en/ett/den/det/de gladare + substantiv,Superlativ,är gladast,den/det/de gladaste + substantiv
glad,~et; pl. ~ ,Singular,ett glad,obestämd form,ett glads,obestämd form genitiv,gladet,bestämd form,gladets,bestämd form genitiv,Plural,glad,obestämd form,glads,obestämd form genitiv,gladen,bestämd form,gladens,bestämd form genitiv
skydds·­ling,~en ~ar ,Singular,en skyddsling,obestämd form,en skyddslings,obestämd form genitiv,skyddslingen,bestämd form,skyddslingens,bestämd form genitiv,Plural,skyddslingar,obestämd form,skyddslingars,obestämd form genitiv,skyddslingarna,bestämd form,skyddslingarnas,bestämd form genitiv
de·­mens,~en ~er ,Singular,en demens,obestämd form,en demens,obestämd form genitiv,demensen,bestämd form,demensens,bestämd form genitiv,Plural,demenser,obestämd form,demensers,obestämd form genitiv,demenserna,bestämd form,demensernas,bestämd form genitiv
vår,~en ~ar ,Singular,en vår,obestämd form,en vårs,obestämd form genitiv,våren,bestämd form,vårens,bestämd form genitiv,Plural,vårar,obestämd form,vårars,obestämd form genitiv,vårarna,bestämd form,vårarnas,bestämd form genitiv,Övrig(a) form(er),våras,i vissa uttryck
vår,~t ~a ,Singular,vår,grundform utrum,vårt,grundform neutrum,Plural,våra,grundform
medel|­punkt,~en ~er ,Singular,en medelpunkt,obestämd form,en medelpunkts,obestämd form genitiv,medelpunkten,bestämd form,medelpunktens,bestämd form genitiv,Plural,medelpunkter,obestämd form,medelpunkters,obestämd form genitiv,medelpunkterna,bestämd form,medelpunkternas,bestämd form genitiv
akro·­nym,~en ~er ,Singular,en akronym,obestämd form,en akronyms,obestämd form genitiv,akronymen,bestämd form,akronymens,bestämd form genitiv,Plural,akronymer,obestämd form,akronymers,obestämd form genitiv,akronymerna,bestämd form,akronymernas,bestämd form genitiv
kon·­kurr·­ens,~en ~er ,Singular,en konkurrens,obestämd form,en konkurrens,obestämd form genitiv,konkurrensen,bestämd form,konkurrensens,bestämd form genitiv,Plural,konkurrenser,obestämd form,konkurrensers,obestämd form genitiv,konkurrenserna,bestämd form,konkurrensernas,bestämd form genitiv
av|­gift,~en ~er ,Singular,en avgift,obestämd form,en avgifts,obestämd form genitiv,avgiften,bestämd form,avgiftens,bestämd form genitiv,Plural,avgifter,obestämd form,avgifters,obestämd form genitiv,avgifterna,bestämd form,avgifternas,bestämd form genitiv
mot|­tag·­are,~n; pl. ~, best. pl. ‑tagarna ,Singular,en mottagare,obestämd form,en mottagares,obestämd form genitiv,mottagaren,bestämd form,mottagarens,bestämd form genitiv,Plural,mottagare,obestämd form,mottagares,obestämd form genitiv,mottagarna,bestämd form,mottagarnas,bestämd form genitiv
skill·­nad,~en ~er ,Singular,en skillnad,obestämd form,en skillnads,obestämd form genitiv,skillnaden,bestämd form,skillnadens,bestämd form genitiv,Plural,skillnader,obestämd form,skillnaders,obestämd form genitiv,skillnaderna,bestämd form,skillnadernas,bestämd form genitiv
ställe,~t ~n ,Singular,ett ställe,obestämd form,ett ställes,obestämd form genitiv,stället,bestämd form,ställets,bestämd form genitiv,Plural,ställen,obestämd form,ställens,obestämd form genitiv,ställena,bestämd form,ställenas,bestämd form genitiv
om|­råde,~t ~n ,Singular,ett område,obestämd form,ett områdes,obestämd form genitiv,området,bestämd form,områdets,bestämd form genitiv,Plural,områden,obestämd form,områdens,obestämd form genitiv,områdena,bestämd form,områdenas,bestämd form genitiv
spång,~en; pl. ~ar el. spänger ,Singular,en spång,obestämd form,en spångs,obestämd form genitiv,spången,bestämd form,spångens,bestämd form genitiv,Plural,spångar (spänger),obestämd form,spångars (spängers),obestämd form genitiv,spångarna (spängerna),bestämd form,spångarnas (spängernas),bestämd form genitiv
sen|­vår,~en ~ar ,Singular,en senvår,obestämd form,en senvårs,obestämd form genitiv,senvåren,bestämd form,senvårens,bestämd form genitiv,Plural,senvårar,obestämd form,senvårars,obestämd form genitiv,senvårarna,bestämd form,senvårarnas,bestämd form genitiv
för·­slag,~et; pl. ~ ,Singular,ett förslag,obestämd form,ett förslags,obestämd form genitiv,förslaget,bestämd form,förslagets,bestämd form genitiv,Plural,förslag,obestämd form,förslags,obestämd form genitiv,förslagen,bestämd form,förslagens,bestämd form genitiv
för|­slag,~et; pl. ~ ,Singular,ett förslag,obestämd form,ett förslags,obestämd form genitiv,förslaget,bestämd form,förslagets,bestämd form genitiv,Plural,förslag,obestämd form,förslags,obestämd form genitiv,förslagen,bestämd form,förslagens,bestämd form genitiv
verk·­sam·­het,~en ~er ,Singular,en verksamhet,obestämd form,en verksamhets,obestämd form genitiv,verksamheten,bestämd form,verksamhetens,bestämd form genitiv,Plural,verksamheter,obestämd form,verksamheters,obestämd form genitiv,verksamheterna,bestämd form,verksamheternas,bestämd form genitiv
partner,~n; pl. ~ hellre än ~s ,Singular,en partner,obestämd form,en partners,obestämd form genitiv,partnern,bestämd form,partnerns,bestämd form genitiv,Plural,partner (partners),obestämd form,partners,obestämd form genitiv,partnerna,bestämd form,partnernas,bestämd form genitiv
stöv,~et ,Singular,ett stöv,obestämd form,ett stövs,obestämd form genitiv,stövet,bestämd form,stövets,bestämd form genitiv
dotter,~n döttrar ,Singular,en dotter,obestämd form,en dotters,obestämd form genitiv,dottern,bestämd form,dotterns,bestämd form genitiv,Plural,döttrar,obestämd form,döttrars,obestämd form genitiv,döttrarna,bestämd form,döttrarnas,bestämd form genitiv
kamera|­vinkel,~n ‑vinklar ,Singular,en kameravinkel,obestämd form,en kameravinkels,obestämd form genitiv,kameravinkeln,bestämd form,kameravinkelns,bestämd form genitiv,Plural,kameravinklar,obestämd form,kameravinklars,obestämd form genitiv,kameravinklarna,bestämd form,kameravinklarnas,bestämd form genitiv
hel|­vete,~t ~n ,Singular,ett helvete,obestämd form,ett helvetes,obestämd form genitiv,helvetet,bestämd form,helvetets,bestämd form genitiv,Plural,helveten,obestämd form,helvetens,obestämd form genitiv,helvetena,bestämd form,helvetenas,bestämd form genitiv
saml·ings|­punkt,~en ~er ,Singular,en samlingspunkt,obestämd form,en samlingspunkts,obestämd form genitiv,samlingspunkten,bestämd form,samlingspunktens,bestämd form genitiv,Plural,samlingspunkter,obestämd form,samlingspunkters,obestämd form genitiv,samlingspunkterna,bestämd form,samlingspunkternas,bestämd form genitiv
re·­sult·­at,~et; pl. ~ ,Singular,ett resultat,obestämd form,ett resultats,obestämd form genitiv,resultatet,bestämd form,resultatets,bestämd form genitiv,Plural,resultat,obestämd form,resultats,obestämd form genitiv,resultaten,bestämd form,resultatens,bestämd form genitiv
axel,~n axlar ,Singular,en axel,obestämd form,en axels,obestämd form genitiv,axeln,bestämd form,axelns,bestämd form genitiv,Plural,axlar,obestämd form,axlars,obestämd form genitiv,axlarna,bestämd form,axlarnas,bestämd form genitiv
porto|­fri·­het,~en ,Singular,en portofrihet,obestämd form,en portofrihets,obestämd form genitiv,portofriheten,bestämd form,portofrihetens,bestämd form genitiv
bygg·­nad,~en ~er ,Singular,en byggnad,obestämd form,en byggnads,obestämd form genitiv,byggnaden,bestämd form,byggnadens,bestämd form genitiv,Plural,byggnader,obestämd form,byggnaders,obestämd form genitiv,byggnaderna,bestämd form,byggnadernas,bestämd form genitiv
hot,~et; pl. ~ ,Singular,ett hot,obestämd form,ett hots,obestämd form genitiv,hotet,bestämd form,hotets,bestämd form genitiv,Plural,hot,obestämd form,hots,obestämd form genitiv,hoten,bestämd form,hotens,bestämd form genitiv
hot,neutr. ~; pl. hotta ,Positiv,en hot + substantiv,ett hot + substantiv,den/det/de hotta + substantiv,Komparativ,en/ett/den/det/de hottare + substantiv,Superlativ,är hottast,den/det/de hottaste + substantiv
subr·­ett,~en ~er ,Singular,en subrett,obestämd form,en subretts,obestämd form genitiv,subretten,bestämd form,subrettens,bestämd form genitiv,Plural,subretter,obestämd form,subretters,obestämd form genitiv,subretterna,bestämd form,subretternas,bestämd form genitiv
pre·­sent,~en ~er ,Singular,en present,obestämd form,en presents,obestämd form genitiv,presenten,bestämd form,presentens,bestämd form genitiv,Plural,presenter,obestämd form,presenters,obestämd form genitiv,presenterna,bestämd form,presenternas,bestämd form genitiv
pre·­sent,n. ~, ~a ,Positiv,en present + substantiv,ett present + substantiv,den/det/de presenta + substantiv
