Substantiv,bojning,Singular obestämd,Singular obestämd genitiv,Singular bestämd,Singular bestämd genitiv,Plural obestämd,Plural obestämd genitiv,Plural bestämd,Plural bestämd genitiv,Articles,Obestämd Initial Två Bokstäver,Bestämd Initial Två Bokstäver,Obestämd Initial Tre Bokstäver,Bestämd Initial Tre Bokstäver,Obestämd Slutlig Två Bokstäver,Bestämd Slutlig Två Bokstäver,Obestämd Slutlig Tre Bokstäver,Bestämd Slutlig Tre Bokstäver,Obestämd Vokalratio,Bestämd Vokalratio,Obestämd Ord Längd,Bestämd Ord Längd
instans,~en ~er ,instans,instans,instansen,instansens,instanser,instansers,instanserna,instansernas,en,in,in,ins,ins,ns,en,ans,sen,0.2857142857142857,0.3333333333333333,7,9
logi,~n el. ~et; pl. ~er ,logi (ett logi),logis (ett logis),login (logiet),logins (logiets),logier,logiers,logierna,logiernas,en,lo,lo,log,log,gi,et,ogi,iet,0.3333333333333333,0.35714285714285715,15,14
sjukdom,~en ~ar ,sjukdom,sjukdoms,sjukdomen,sjukdomens,sjukdomar,sjukdomars,sjukdomarna,sjukdomarnas,en,sj,sj,sju,sju,om,en,dom,men,0.2857142857142857,0.3333333333333333,7,9
fallbeskrivning,~en ~ar ,fallbeskrivning,fallbeskrivnings,fallbeskrivningen,fallbeskrivningens,fallbeskrivningar,fallbeskrivningars,fallbeskrivningarna,fallbeskrivningarnas,en,fa,fa,fal,fal,ng,en,ing,gen,0.26666666666666666,0.29411764705882354,15,17
dis,~et ,dis,dis,diset,disets,NOP,NOP,NOP,NOP,ett,di,di,dis,dis,is,et,dis,set,0.3333333333333333,0.4,3,5
dis,~en ~er ,dis,dis,disen,disens,diser,disers,diserna,disernas,en,di,di,dis,dis,is,en,dis,sen,0.3333333333333333,0.4,3,5
partikelverb,~et; pl. ~ ,partikelverb,partikelverbs,partikelverbet,partikelverbets,partikelverb,partikelverbs,partikelverben,partikelverbens,ett,pa,pa,par,par,rb,et,erb,bet,0.3333333333333333,0.35714285714285715,12,14
program,~met; pl. ~,program,programs,programmet,programmets,program,programs,programmen,programmens,ett,pr,pr,pro,pro,am,et,ram,met,0.2857142857142857,0.3,7,10
förstor·ing,~en ~ar ,förstoring,förstorings,förstoringen,förstoringens,förstoringar,förstoringars,förstoringarna,förstoringarnas,en,fö,fö,för,för,ng,en,ing,gen,0.3,0.3333333333333333,10,12
lakej,~en ~er ,lakej,lakejs,lakejen,lakejens,lakejer,lakejers,lakejerna,lakejernas,en,la,la,lak,lak,ej,en,kej,jen,0.4,0.42857142857142855,5,7
motstånd,~et; pl. ~ ,motstånd,motstånds,motståndet,motståndets,motstånd,motstånds,motstånden,motståndens,ett,mo,mo,mot,mot,nd,et,ånd,det,0.25,0.3,8,10
undervisning,~en ~ar ,undervisning,undervisnings,undervisningen,undervisningens,undervisningar,undervisningars,undervisningarna,undervisningarnas,en,un,un,und,und,ng,en,ing,gen,0.3333333333333333,0.35714285714285715,12,14
